Salary_mean,Salary_min,Salary_max,Rating,Size_mean,Job_type
72.0,53.0,91.0,3.8,750.0,scientist
87.5,63.0,112.0,3.4,10000.0,scientist
85.0,80.0,90.0,4.8,750.0,scientist
76.5,56.0,97.0,3.8,3000.0,scientist
114.5,86.0,143.0,2.9,125.0,scientist
95.0,71.0,119.0,3.4,350.0,scientist
73.5,54.0,93.0,4.1,750.0,scientist
114.0,86.0,142.0,3.8,350.0,scientist
61.0,38.0,84.0,3.3,10000.0,scientist
140.0,120.0,160.0,4.6,125.0,scientist
163.5,126.0,201.0,3.5,750.0,scientist
85.0,64.0,106.0,4.1,7500.0,scientist
139.0,106.0,172.0,3.2,10000.0,scientist
65.5,46.0,85.0,4.1,350.0,analyst
113.5,83.0,144.0,3.7,10000.0,scientist
146.0,102.0,190.0,3.6,3000.0,other
102.0,67.0,137.0,3.9,125.0,scientist
153.5,118.0,189.0,4.3,350.0,scientist
142.5,110.0,175.0,4.2,125.0,scientist
87.5,64.0,111.0,4.0,750.0,scientist
105.5,81.0,130.0,3.2,350.0,scientist
96.0,73.0,119.0,3.9,350.0,scientist
112.5,86.0,139.0,3.8,750.0,scientist
84.0,63.0,105.0,4.3,125.0,scientist
143.0,109.0,177.0,4.0,750.0,scientist
86.5,63.0,110.0,4.0,10000.0,scientist
99.5,75.0,124.0,3.5,3000.0,scientist
47.5,34.0,61.0,3.7,7500.0,analyst
84.0,63.0,105.0,4.0,10000.0,scientist
85.0,80.0,90.0,4.8,750.0,scientist
76.5,56.0,97.0,3.8,3000.0,scientist
96.0,72.0,120.0,3.6,3000.0,scientist
114.5,86.0,143.0,3.8,10000.0,scientist
121.0,93.0,149.0,3.8,7500.0,scientist
112.5,85.0,140.0,4.7,350.0,scientist
106.0,77.0,135.0,4.2,350.0,analyst
107.0,82.0,132.0,3.5,3000.0,scientist
110.0,83.0,137.0,4.7,350.0,scientist
147.5,115.0,180.0,3.5,7500.0,scientist
106.0,74.0,138.0,3.5,350.0,other
88.0,64.0,112.0,4.2,350.0,analyst
98.5,68.0,129.0,3.6,25.0,other
142.5,110.0,175.0,4.2,125.0,scientist
82.5,52.0,113.0,3.4,7500.0,scientist
130.0,110.0,150.0,4.3,3000.0,scientist
184.5,158.0,211.0,3.7,10000.0,scientist
29.5,20.0,39.0,3.1,7500.0,analyst
86.5,56.0,117.0,4.7,750.0,scientist
81.0,63.0,99.0,3.7,10000.0,scientist
91.0,68.0,114.0,3.8,750.0,scientist
114.5,86.0,143.0,3.3,10000.0,scientist
68.0,41.0,95.0,4.6,3000.0,analyst
115.0,86.0,144.0,3.7,10000.0,scientist
109.5,80.0,139.0,3.7,10000.0,scientist
75.5,56.0,95.0,3.5,7500.0,scientist
154.5,120.0,189.0,4.1,750.0,scientist
143.5,111.0,176.0,4.7,125.0,scientist
73.5,54.0,93.0,4.1,750.0,scientist
95.0,71.0,119.0,3.4,350.0,scientist
107.0,82.0,132.0,4.4,350.0,scientist
115.0,84.0,146.0,4.3,350.0,scientist
139.5,107.0,172.0,3.8,750.0,scientist
67.0,49.0,85.0,3.8,3000.0,scientist
85.0,61.0,109.0,3.8,10000.0,scientist
118.0,88.0,148.0,2.8,125.0,scientist
79.5,60.0,99.0,4.7,125.0,scientist
56.5,41.0,72.0,3.1,350.0,scientist
128.5,96.0,161.0,3.2,25.0,scientist
97.5,65.0,130.0,4.0,10000.0,scientist
66.5,52.0,81.0,4.4,25.0,other
179.5,139.0,220.0,3.6,10000.0,other
76.0,50.0,102.0,2.7,750.0,scientist
112.0,85.0,139.0,3.9,750.0,scientist
98.0,74.0,122.0,3.1,3000.0,scientist
128.0,99.0,157.0,4.0,10000.0,scientist
150.5,79.0,222.0,4.3,350.0,scientist
87.5,57.0,118.0,1.9,125.0,scientist
110.0,83.0,137.0,3.3,3000.0,scientist
113.5,86.0,141.0,4.4,10000.0,scientist
124.0,94.0,154.0,3.9,125.0,scientist
56.5,37.0,76.0,4.7,350.0,analyst
130.0,100.0,160.0,4.5,7500.0,scientist
77.5,55.0,100.0,4.3,125.0,analyst
87.0,60.0,114.0,4.0,350.0,other
53.5,39.0,68.0,4.4,750.0,analyst
139.0,106.0,172.0,3.2,10000.0,scientist
114.0,86.0,142.0,3.8,350.0,scientist
85.5,64.0,107.0,4.2,750.0,scientist
48.0,31.0,65.0,4.5,125.0,other
48.0,34.0,62.0,3.5,125.0,analyst
174.0,117.0,231.0,3.5,350.0,scientist
85.0,64.0,106.0,3.9,7500.0,scientist
106.5,79.0,134.0,4.7,125.0,other
72.5,52.0,93.0,4.2,3000.0,scientist
85.5,55.0,116.0,3.4,10000.0,scientist
97.5,72.0,123.0,3.2,7500.0,scientist
99.0,74.0,124.0,3.9,750.0,scientist
56.5,40.0,73.0,3.1,3000.0,analyst
133.0,102.0,164.0,4.1,25.0,scientist
121.0,89.0,153.0,3.8,125.0,scientist
85.5,61.0,110.0,4.7,750.0,scientist
87.5,65.0,110.0,4.3,3000.0,scientist
237.5,200.0,275.0,4.2,3000.0,scientist
95.5,68.0,123.0,3.9,3000.0,other
104.5,80.0,129.0,3.3,10000.0,scientist
56.5,41.0,72.0,4.7,350.0,analyst
55.0,39.0,71.0,4.3,350.0,analyst
61.5,38.0,85.0,2.9,3000.0,scientist
157.0,121.0,193.0,4.5,350.0,scientist
78.0,54.0,102.0,3.4,350.0,other
113.5,83.0,144.0,3.7,10000.0,scientist
140.0,120.0,160.0,4.6,125.0,scientist
132.5,102.0,163.0,3.2,125.0,scientist
108.0,76.0,140.0,4.0,7500.0,other
80.5,60.0,101.0,4.6,750.0,scientist
107.5,82.0,133.0,2.8,350.0,scientist
95.0,65.0,125.0,4.7,125.0,other
119.5,91.0,148.0,3.0,3000.0,scientist
134.0,95.0,173.0,3.2,3000.0,other
100.5,77.0,124.0,4.4,350.0,scientist
107.5,80.0,135.0,3.5,3000.0,scientist
122.0,85.0,159.0,4.0,125.0,other
92.5,80.0,105.0,4.3,3000.0,other
62.0,43.0,81.0,2.3,750.0,analyst
39.5,29.0,50.0,4.0,125.0,scientist
107.5,82.0,133.0,3.6,3000.0,scientist
40.5,26.0,55.0,3.8,750.0,other
89.5,61.0,118.0,3.7,10000.0,scientist
81.0,60.0,102.0,4.4,350.0,scientist
147.0,112.0,182.0,4.0,750.0,scientist
85.0,64.0,106.0,3.2,3000.0,scientist
81.5,51.0,112.0,2.9,3000.0,scientist
168.0,113.0,223.0,3.8,3000.0,scientist
100.5,72.0,129.0,4.3,25.0,other
97.0,71.0,123.0,3.4,3000.0,scientist
85.0,64.0,106.0,4.1,7500.0,scientist
153.5,118.0,189.0,4.3,350.0,scientist
100.0,80.0,120.0,4.3,125.0,other
105.0,80.0,130.0,3.7,350.0,scientist
87.0,59.0,115.0,4.2,10000.0,other
103.5,71.0,136.0,4.3,125.0,analyst
124.0,81.0,167.0,2.6,750.0,scientist
67.0,49.0,85.0,3.8,3000.0,scientist
87.0,60.0,114.0,3.9,10000.0,other
137.5,71.0,204.0,4.3,350.0,scientist
100.0,75.0,125.0,3.8,350.0,scientist
106.5,77.0,136.0,3.8,7500.0,other
98.5,74.0,123.0,3.8,3000.0,scientist
61.0,44.0,78.0,4.8,750.0,analyst
106.5,65.0,148.0,4.4,125.0,other
84.5,59.0,110.0,3.9,125.0,other
109.5,85.0,134.0,3.4,3000.0,other
164.0,124.0,204.0,3.6,7500.0,scientist
169.0,131.0,207.0,3.9,10000.0,scientist
142.0,110.0,174.0,3.8,7500.0,scientist
76.5,52.0,101.0,3.7,10000.0,scientist
107.0,81.0,133.0,3.8,750.0,scientist
171.5,132.0,211.0,3.5,10000.0,scientist
96.0,73.0,119.0,3.9,350.0,scientist
142.5,110.0,175.0,4.2,125.0,scientist
107.0,74.0,140.0,4.2,10000.0,other
145.0,100.0,190.0,3.5,3000.0,scientist
61.5,43.0,80.0,2.9,350.0,analyst
20.5,17.0,24.0,3.6,7500.0,scientist
120.0,91.0,149.0,2.7,125.0,scientist
62.0,42.0,82.0,4.4,350.0,scientist
150.5,116.0,185.0,4.0,7500.0,scientist
87.5,59.0,116.0,4.3,350.0,other
71.5,48.0,95.0,4.2,125.0,other
51.5,31.0,72.0,3.6,125.0,analyst
151.5,105.0,198.0,3.7,10000.0,scientist
77.5,55.0,100.0,2.8,350.0,analyst
140.0,98.0,182.0,3.7,10000.0,scientist
98.5,73.0,124.0,3.3,3000.0,scientist
27.5,21.0,34.0,3.6,3000.0,scientist
161.5,117.0,206.0,3.7,10000.0,scientist
147.0,111.0,183.0,3.4,3000.0,scientist
61.0,44.0,78.0,4.1,750.0,analyst
120.0,81.0,159.0,2.6,750.0,scientist
124.5,83.0,166.0,3.2,3000.0,other
148.0,114.0,182.0,3.9,125.0,scientist
59.0,42.0,76.0,4.7,125.0,analyst
146.5,114.0,179.0,3.7,7500.0,scientist
91.5,60.0,123.0,2.9,350.0,scientist
133.0,100.0,166.0,3.0,750.0,scientist
140.5,108.0,173.0,4.7,125.0,scientist
70.5,48.0,93.0,3.7,750.0,other
84.5,54.0,115.0,3.3,10000.0,scientist
93.5,60.0,127.0,4.0,125.0,other
134.5,90.0,179.0,4.4,350.0,scientist
181.0,138.0,224.0,3.9,350.0,other
84.5,54.0,115.0,3.3,10000.0,scientist
205.0,190.0,220.0,4.1,125.0,other
48.5,35.0,62.0,3.6,3000.0,analyst
21.5,18.0,25.0,4.0,3000.0,scientist
52.5,39.0,66.0,2.4,750.0,scientist
124.0,81.0,167.0,2.6,750.0,scientist
64.0,42.0,86.0,3.5,750.0,other
98.0,69.0,127.0,3.0,10000.0,other
27.5,21.0,34.0,3.6,3000.0,scientist
54.0,40.0,68.0,3.3,750.0,scientist
81.0,49.0,113.0,2.7,350.0,scientist
107.5,75.0,140.0,3.4,3000.0,other
112.5,86.0,139.0,3.8,750.0,scientist
89.0,66.0,112.0,3.7,10000.0,scientist
100.5,76.0,125.0,4.8,3000.0,scientist
65.0,44.0,86.0,3.8,3000.0,analyst
20.0,15.0,25.0,3.4,10000.0,scientist
72.5,53.0,92.0,4.3,350.0,scientist
61.0,44.0,78.0,4.8,750.0,analyst
109.5,85.0,134.0,3.4,3000.0,other
84.5,59.0,110.0,3.9,125.0,other
87.5,64.0,111.0,3.4,125.0,scientist
92.5,65.0,120.0,3.1,3000.0,analyst
81.5,60.0,103.0,3.2,7500.0,scientist
79.0,53.0,105.0,4.3,3000.0,analyst
164.0,124.0,204.0,3.6,7500.0,scientist
169.0,131.0,207.0,3.9,10000.0,scientist
142.0,110.0,174.0,3.8,7500.0,scientist
47.5,33.0,62.0,2.8,750.0,analyst
76.5,52.0,101.0,3.7,10000.0,scientist
69.0,48.0,90.0,3.4,125.0,analyst
49.0,34.0,64.0,4.0,350.0,analyst
171.5,132.0,211.0,3.5,10000.0,scientist
107.0,81.0,133.0,3.8,750.0,scientist
59.0,42.0,76.0,3.7,350.0,analyst
88.5,66.0,111.0,3.5,350.0,scientist
107.0,74.0,140.0,4.2,10000.0,other
86.5,63.0,110.0,4.0,10000.0,scientist
84.0,63.0,105.0,4.3,125.0,scientist
114.5,91.0,138.0,4.7,350.0,other
145.0,100.0,190.0,3.5,3000.0,scientist
88.0,62.0,114.0,4.4,3000.0,other
100.0,71.0,129.0,4.1,750.0,other
61.5,43.0,80.0,2.9,350.0,analyst
96.5,74.0,119.0,2.5,3000.0,scientist
76.0,55.0,97.0,4.2,350.0,analyst
15.5,15.0,16.0,3.9,3000.0,scientist
83.5,61.0,106.0,4.3,25.0,scientist
120.0,91.0,149.0,2.7,125.0,scientist
163.0,127.0,199.0,3.9,10000.0,scientist
100.0,74.0,126.0,3.4,750.0,analyst
52.5,33.0,72.0,3.8,3000.0,scientist
20.5,17.0,24.0,3.6,7500.0,scientist
50.0,37.0,63.0,3.3,750.0,analyst
93.0,67.0,119.0,3.4,350.0,other
94.5,72.0,117.0,3.0,3000.0,scientist
150.5,116.0,185.0,4.0,7500.0,scientist
102.0,78.0,126.0,3.7,3000.0,scientist
62.0,42.0,82.0,4.4,350.0,scientist
87.5,59.0,116.0,4.3,350.0,other
84.0,63.0,105.0,4.0,10000.0,scientist
143.0,109.0,177.0,4.0,750.0,scientist
155.0,116.0,194.0,3.2,25.0,scientist
71.5,48.0,95.0,4.2,125.0,other
108.0,83.0,133.0,3.9,125.0,scientist
151.5,105.0,198.0,3.7,10000.0,scientist
51.5,31.0,72.0,3.6,125.0,analyst
140.0,98.0,182.0,3.7,10000.0,scientist
77.5,55.0,100.0,2.8,350.0,analyst
63.5,45.0,82.0,4.2,750.0,analyst
109.0,83.0,135.0,4.0,25.0,scientist
96.0,70.0,122.0,3.5,7500.0,scientist
101.0,70.0,132.0,3.2,3000.0,other
98.5,73.0,124.0,3.3,3000.0,scientist
77.5,54.0,101.0,3.9,3000.0,other
161.5,117.0,206.0,3.7,10000.0,scientist
27.5,21.0,34.0,3.6,3000.0,scientist
147.0,111.0,183.0,3.4,3000.0,scientist
90.0,68.0,112.0,3.5,10000.0,scientist
58.0,42.0,74.0,4.3,750.0,analyst
61.0,44.0,78.0,4.1,750.0,analyst
120.0,81.0,159.0,2.6,750.0,scientist
128.0,95.0,161.0,3.6,3000.0,scientist
99.5,75.0,124.0,3.5,3000.0,scientist
96.0,72.0,120.0,3.6,3000.0,scientist
101.0,76.0,126.0,2.3,350.0,scientist
148.0,114.0,182.0,3.9,125.0,scientist
142.0,108.0,176.0,4.0,750.0,scientist
169.0,130.0,208.0,4.1,25.0,scientist
124.5,83.0,166.0,3.2,3000.0,other
59.0,42.0,76.0,4.7,125.0,analyst
52.5,37.0,68.0,4.2,125.0,other
75.5,52.0,99.0,4.6,750.0,other
139.0,105.0,173.0,3.7,10000.0,scientist
102.5,71.0,134.0,3.7,10000.0,other
60.5,39.0,82.0,4.4,350.0,scientist
146.5,114.0,179.0,3.7,7500.0,scientist
125.0,88.0,162.0,3.9,10000.0,scientist
81.0,60.0,102.0,3.6,7500.0,analyst
133.0,100.0,166.0,3.0,750.0,scientist
77.0,55.0,99.0,3.4,10000.0,analyst
92.0,67.0,117.0,4.1,7500.0,other
121.0,92.0,150.0,3.8,10000.0,scientist
162.5,116.0,209.0,4.0,7500.0,other
60.0,38.0,82.0,3.9,3000.0,scientist
90.5,62.0,119.0,4.4,25.0,other
114.5,86.0,143.0,3.8,10000.0,scientist
121.0,93.0,149.0,3.8,7500.0,scientist
110.0,84.0,136.0,2.2,750.0,scientist
91.5,60.0,123.0,2.9,350.0,scientist
70.5,52.0,89.0,4.1,7500.0,analyst
70.5,48.0,93.0,3.7,750.0,other
76.5,56.0,97.0,3.8,3000.0,scientist
92.0,65.0,119.0,3.6,7500.0,other
140.5,108.0,173.0,4.7,125.0,scientist
82.0,63.0,101.0,3.5,3000.0,other
84.5,54.0,115.0,3.3,10000.0,scientist
134.5,90.0,179.0,4.4,350.0,scientist
164.5,127.0,202.0,3.3,350.0,scientist
44.0,31.0,57.0,3.4,350.0,analyst
93.5,60.0,127.0,4.0,125.0,other
109.0,75.0,143.0,4.4,25.0,other
149.5,105.0,194.0,3.8,750.0,other
65.5,45.0,86.0,3.5,3000.0,other
124.5,95.0,154.0,3.5,3000.0,scientist
114.0,80.0,148.0,2.9,125.0,other
49.0,36.0,62.0,3.9,750.0,analyst
84.5,54.0,115.0,3.3,10000.0,scientist
71.0,50.0,92.0,3.7,750.0,analyst
101.0,67.0,135.0,3.6,7500.0,other
107.0,82.0,132.0,3.5,3000.0,scientist
112.5,85.0,140.0,4.7,350.0,scientist
181.0,138.0,224.0,3.9,350.0,other
61.0,42.0,80.0,3.7,10000.0,analyst
205.0,190.0,220.0,4.1,125.0,other
103.5,68.0,139.0,3.1,7500.0,scientist
63.0,34.0,92.0,3.6,7500.0,other
62.5,54.0,71.0,3.0,10000.0,other
94.5,65.0,124.0,3.5,750.0,other
48.5,35.0,62.0,3.6,3000.0,analyst
154.5,109.0,200.0,3.5,3000.0,scientist
21.5,18.0,25.0,4.0,3000.0,scientist
87.0,61.0,113.0,3.7,750.0,other
52.5,39.0,66.0,2.4,750.0,scientist
64.5,43.0,86.0,3.2,750.0,other
111.5,74.0,149.0,2.1,350.0,scientist
154.5,113.0,196.0,3.7,10000.0,other
124.0,81.0,167.0,2.6,750.0,scientist
128.5,97.0,160.0,4.4,350.0,scientist
31.5,24.0,39.0,3.7,750.0,scientist
64.0,42.0,86.0,3.5,750.0,other
98.0,69.0,127.0,3.0,10000.0,other
142.5,110.0,175.0,4.2,125.0,scientist
137.0,102.0,172.0,3.9,10000.0,scientist
99.0,74.0,124.0,4.0,750.0,other
54.0,40.0,68.0,3.3,750.0,scientist
139.5,108.0,171.0,4.4,3000.0,scientist
109.0,76.0,142.0,3.4,350.0,other
254.0,202.0,306.0,3.3,10000.0,other
73.0,49.0,97.0,2.9,350.0,scientist
81.0,49.0,113.0,2.7,350.0,scientist
27.5,21.0,34.0,3.6,3000.0,scientist
99.5,65.0,134.0,3.1,7500.0,scientist
45.5,32.0,59.0,3.3,750.0,analyst
122.5,87.0,158.0,4.5,125.0,other
140.0,107.0,173.0,3.9,7500.0,scientist
77.5,56.0,99.0,3.2,7500.0,other
